$$	Titre	Famille documentaire	Nature documentaire	Nature documentaire libellé	Projet	Opération	Site DPIH	Requis	Unité	Code Centrale	Code Projet	Niveau d'études	Découpage - lot	Système élémentaire 	Complément	Numéro Chrono	Codification	Type MSH	RT	Format demandé	Stockage	Rédaction	Temps estimé (h)	Reste à faire	Fourniture	Date cible	Observations 	Livr. Exploitant	Date Exploitant	Format Exploitant	Stockage Exploitant	Livr. MCO	Date MCO	Format MCO	Stockage MCO	Livr. Intégrateur	Date Intégrateur	Format Intégrateur	Stockage Intégrateur	Livr. DTG	Date DTG	Format DTG	Stockage DTG	Livr. Tableautier	Date Tableautier	Format Tableautier	Stockage Tableautier
$$	Plans des locaux par niveaux avec implantation des matèriels existants	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	000	*		111001	IH-RMOIH-MSHD-D-000-*-111 001	IM	T	Autocad		Intégrateurs	0		M04 + 30 j		A créer si nécessaire	True		Autocad		False				False		Word - A4	Numérique	False				False			
$$	Liste des consommateurs électriques existants du site et bilan de puissance	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	000	*		111002	IH-RMOIH-MSHD-D-000-*-111 002	LE	T	Excel - A4		Intégrateurs	0		M04 + 30 j			True		Excel - A4		False				False		Word - A4	Numérique	False				False			
$$	Relevé des distances/longueurs et caractéristiques de câbles et carnet de câble de l'existant	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	000	*		111003	IH-RMOIH-MSHD-D-000-*-111 003	LE	T	Excel - A4		Intégrateurs	0		M04 + 30 j		A créer si nécessaire	True		Excel - A4		False				False		Autocad		False				False			
$$	Liste des capteurs et actionneurs actuels (y compris TC et TT)	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	000	*		111004	IH-RMOIH-MSHD-D-000-*-111 004	LE	T	Excel - A4		Intégrateurs	0		M04 + 30 j			True		Excel - A4		False				False		Autocad	Papier	False				False			
$$	Liste des E/S du diffuseur d’alarme existant	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	000	*		111005	IH-RMOIH-MSHD-D-000-*-111 005	ES	T	Excel - A4		Intégrateurs	0		M04 + 30 j			True		Excel - A4		False				False		Autocad		False				False			
$$	Schéma unifilaire de distribution d'énergie avant rénovation	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	050	LBT		111001	IH-RMOIH-MSHD-D-050-LBT-111 001	SF	T	Autocad		Intégrateurs	0		M04+30j			True		Autocad		False				False		Word - A4		False				False			
$$	Schéma unifilaire d'ensemble existant	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	050	LEV		111001	IH-RMOIH-MSHD-D-050-LEV-111 001	SF	T	Autocad		Intégrateurs	0		M04+30j		Schéma HT jusqu'à distribution BT	True		Autocad		False				False		Autocad		False				False			
$$	Schémas détaillés excitation groupe 1	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	X	001	LEX		111001	IH-RMOIH-MSHD-X-001-LEX-111 001	SR	T	See Elec		Intégrateurs	0		M08A		Dossier master à jour à remettre à l'exploitant pour le M22	True	M13 - M14	See Elec	Papier	True	M14	PDF - A4	Numérique	False				False				False			
$$	Schémas détaillés régulation de vitesse groupe 1	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	X	001	KRN		111001	IH-RMOIH-MSHD-X-001-KRN-111 001	SR	T	See Elec		Intégrateurs	0		M08A		Dossier master à jour à remettre à l'exploitant pour le M19	True	M13 - M14	See Elec	Papier	True	M14	PDF - A4	Numérique	False				False				False			
$$	Schéma unifilaire global de distribution d'énergie (AC-CC-AHQ) après rénovation	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	X	050	*		111001	IH-RMOIH-MSHD-X-050-*-111 001	SF	T	Autocad		Intégrateurs	0		M08A			True	M13 - M14	Autocad	Papier	True	M14	PDF - A4	Numérique	False				False				True	M08A	Autocad	Numérique
$$	Schémas détaillés de distribution AC usine après rénovation	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	X	050	LBT		111001	IH-RMOIH-MSHD-X-050-LBT-111 001	SR	T	See Elec		Intégrateurs	0		M08A		Dossier master à jour à remettre à l'exploitant pour le M13	True	M13 - M14	See Elec	Papier	True	M14	PDF - A4	Numérique	False				False				True	M08A	See Elec	Numérique
